表名,字段名
dwd_ft_bin_dielevel_rawdata_prod_v,lot_no、start_time、device_name、test_step、end_time、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、hard_bin、soft_bin、tb_num、tb_name、pass_fail、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_bin_dielevel_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、fab_lot、fab_wafer_no、hard_bin、soft_bin、tb_num、tb_name、pass_fail、count、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_bin_dielevel_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、fab_lot、fab_wafer_no、hard_bin、soft_bin、tb_num、tb_name、pass_fail、count、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_bin_dutlevel_rawdata_eng_v,lot_no、start_time、device_name、test_step、end_time、touch_down、site_num、dut_num、unit_id、hard_bin、soft_bin、tb_num、tb_name、pass_fail、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_bin_dutlevel_rawdata_prod_v,lot_no、start_time、device_name、test_step、end_time、touch_down、site_num、dut_num、unit_id、hard_bin、soft_bin、tb_num、tb_name、pass_fail、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_bin_dutlevel_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、hard_bin、soft_bin、tb_num、tb_name、pass_fail、count、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_bin_dutlevel_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、hard_bin、soft_bin、tb_num、tb_name、pass_fail、count、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_fab_wafer_info_eng_v,lot_no、start_time、device_name、test_step、end_time、fab_lot、fab_wafer_no、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_fab_wafer_info_prod_v,lot_no、start_time、device_name、test_step、end_time、fab_lot、fab_wafer_no、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_lotinfo_eng_v,lot_no、start_time、wafer_lot_no、tout_no、ippn、mpn、recipe、tester_no、handler_no、change_kit_id、dsa_no、load_board、test_step、temperature、test_program、trace_code、operator、device_name、qty_in、qty_out、yield、retest_flag、end_time、oi_version、vi_version、engineer_mode、subcontractor、ewo、ti、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_lotinfo_prod_v,lot_no、start_time、wafer_lot_no、tout_no、ippn、mpn、recipe、tester_no、handler_no、change_kit_id、dsa_no、load_board、test_step、temperature、test_program、trace_code、operator、device_name、qty_in、qty_out、yield、retest_flag、end_time、oi_version、vi_version、engineer_mode、subcontractor、ewo、ti、filename、source_sysid、extract_time、time_date、product、yas_load_time
